gender;age;bmi_3;bmi_5;bmi_10;bmi_25;bmi_50;bmi_75;bmi_85;bmi_90;bmi_95;bmi_97
M;2;14.52095;14.73732;15.09033;15.74164;16.57503;17.55719;18.16219473;18.60948128;19.33801062;19.85985812
M;2.041666667;14.50348;14.71929;15.07117;15.71963;16.54777;17.52129;18.11954923;18.56110634;19.27889813;19.79194014
M;2.125;14.46882;14.68361;15.03336;15.67634;16.49443;17.45135;18.03668013;18.46729593;19.16465965;19.66102345
M;2.208333333;14.4346;14.64843;14.9962;15.63403;16.4426;17.38384;17.95700228;18.37736191;19.05567423;19.5365754
M;2.291666667;14.40083;14.61379;14.95969;15.59268;16.39224;17.31871;17.88047101;18.29125345;18.9518675;19.41848805
M;2.375;14.36755;14.57969;14.92385;15.55226;16.34334;17.25593;17.80704259;18.20892041;18.85316529;19.30665411
M;2.458333333;14.33478;14.54615;14.88866;15.51275;16.29584;17.19546;17.73667414;18.1303131;18.75949359;19.20096691
M;2.541666667;14.30257;14.51319;14.85414;15.47414;16.24972;17.13726;17.66932346;18.05538214;18.67077841;19.10132056
M;2.625;14.27093;14.48084;14.82027;15.43639;16.20495;17.0813;17.6049486;17.98407812;18.58694589;19.00761051
M;2.708333333;14.23989;14.44909;14.78707;15.39951;16.1615;17.02753;17.54350898;17.91635198;18.50792131;18.91973125
M;2.791666667;14.20948;14.41798;14.75453;15.36345;16.11933;16.97592;17.48496295;17.85215384;18.43363072;18.83758072
M;2.875;14.17972;14.3875;14.72264;15.32822;16.07843;16.92645;17.42926933;17.79143359;18.3639996;18.76105711
M;2.958333333;14.15063;14.35767;14.69142;15.29379;16.03876;16.87907;17.37638677;17.73414053;18.29895323;18.69005992
M;3.041666667;14.12223;14.32851;14.66086;15.26016;16.0003;16.83376;17.32627356;17.68022325;18.23841666;18.62449011
M;3.125;14.09453;14.30002;14.63096;15.22731;15.96304;16.79048;17.27888795;17.62962965;18.1823144;18.5642493
M;3.208333333;14.06756;14.27222;14.60173;15.19523;15.92695;16.7492;17.23418554;17.58230587;18.13057244;18.50924478
M;3.291666667;14.04132;14.2451;14.57316;15.16392;15.89203;16.70988;17.19212545;17.53819888;18.08311311;18.45937719
M;3.375;14.01582;14.21868;14.54527;15.13337;15.85824;16.67251;17.15266201;17.49725289;18.03986198;18.41455697
M;3.458333333;13.99107;14.19297;14.51805;15.10359;15.82559;16.63704;17.11575098;17.45941207;18.00074262;18.37469187
M;3.541666667;13.96707;14.16796;14.49151;15.07458;15.79406;16.60345;17.08134677;17.42461935;17.96567903;18.33969264
M;3.625;13.94383;14.14367;14.46566;15.04633;15.76364;16.5717;17.04940504;17.39281759;17.9345935;18.30946785
M;3.708333333;13.92133;14.12009;14.4405;15.01886;15.73434;16.54177;17.0198786;17.36394785;17.90741007;18.28393204
M;3.791666667;13.89959;14.09723;14.41604;14.99218;15.70614;16.51364;16.99272087;17.33795095;17.88405183;18.26299911
M;3.875;13.87858;14.07509;14.39229;14.96629;15.67904;16.48726;16.96788739;17.31476822;17.86443983;18.24657949
M;3.958333333;13.85832;14.05366;14.36926;14.9412;15.65305;16.46262;16.94533215;17.29433999;17.84849622;18.2345875
M;4.041666667;13.83877;14.03296;14.34695;14.91694;15.62817;16.4397;16.92501028;17.27660684;17.8361423;18.22693633
M;4.125;13.81995;14.01296;14.32537;14.89351;15.60441;16.41846;16.90687779;17.26150966;17.82729891;18.22353875
M;4.208333333;13.80182;13.99367;14.30453;14.87093;15.58176;16.39889;16.89089179;17.24898984;17.8218865;18.22430691
M;4.291666667;13.78439;13.97509;14.28444;14.84921;15.56025;16.38097;16.87701073;17.23898952;17.81982523;18.22915216
M;4.375;13.76763;13.95722;14.2651;14.82838;15.53987;16.36468;16.86519374;17.23145142;17.82103559;18.23798637
M;4.458333333;13.75152;13.94003;14.24651;14.80844;15.52065;16.35001;16.85540483;17.22632105;17.82543578;18.25071444
M;4.541666667;13.73606;13.92353;14.22868;14.78941;15.50258;16.33693;16.8476049;17.22354286;17.83294744;18.26724918
M;4.625;13.72123;13.90771;14.21162;14.7713;15.48569;16.32545;16.84175987;17.22306443;17.84349028;18.28749643
M;4.708333333;13.70702;13.89257;14.19532;14.75414;15.46998;16.31554;16.8378366;17.22483458;17.85698505;18.31136265
M;4.791666667;13.6934;13.87809;14.17979;14.73792;15.45546;16.3072;16.83580365;17.22880383;17.87335318;18.33875356
M;4.875;13.68036;13.86426;14.16503;14.72266;15.44214;16.30042;16.83563223;17.23492502;17.89251642;18.36957256
M;4.958333333;13.6679;13.85108;14.15103;14.70836;15.43003;16.29518;16.83729272;17.24315148;17.91439894;18.40372671
M;5.041666667;13.656;13.83855;14.1378;14.69504;15.41914;16.29148;16.84075838;17.25343909;17.93892524;18.44112021
M;5.125;13.64464;13.82665;14.12534;14.68269;15.40947;16.28932;16.84600319;17.26574515;17.96602144;18.48165813
M;5.208333333;13.63383;13.81537;14.11363;14.67133;15.40103;16.28868;16.85300198;17.28002846;17.99561523;18.52524599
M;5.291666667;13.62355;13.80472;14.10268;14.66094;15.39382;16.28955;16.86173124;17.29624981;18.02763543;18.57178832
M;5.375;13.61379;13.79469;14.09249;14.65154;15.38783;16.29192;16.87216519;17.31436954;18.06201396;18.62119533
M;5.458333333;13.60456;13.78527;14.08305;14.64312;15.38307;16.29578;16.88428085;17.33435063;18.09868317;18.67337395
M;5.541666667;13.59584;13.77646;14.07436;14.63567;15.37953;16.30113;16.89805459;17.35615653;18.13757754;18.72823379
M;5.625;13.58764;13.76825;14.06642;14.6292;15.37721;16.30794;16.91346275;17.37975148;18.17863327;18.78568583
M;5.708333333;13.57996;13.76065;14.05921;14.62369;15.37609;16.3162;16.93048153;17.40510042;18.22178824;18.84564261
M;5.791666667;13.57278;13.75364;14.05274;14.61914;15.37618;16.3259;16.94908693;17.43216882;18.26698191;18.90801826
M;5.875;13.56612;13.74724;14.04701;14.61555;15.37745;16.33702;16.96925461;17.46092258;18.31415529;18.97272855
M;5.958333333;13.55998;13.74144;14.042;14.6129;15.37991;16.34955;16.99095993;17.49132795;18.36325085;19.03969094
M;6.041666667;13.55435;13.73624;14.03772;14.6112;15.38353;16.36346;17.01417786;17.52335144;18.41421242;19.10882456
M;6.125;13.54925;13.73164;14.03417;14.61042;15.38831;16.37875;17.03888299;17.55695978;18.46698511;19.18005024
M;6.208333333;13.54467;13.72764;14.03134;14.61057;15.39423;16.39537;17.06504953;17.59211982;18.52151524;19.25329044
M;6.291666667;13.54062;13.72424;14.02922;14.61163;15.40127;16.41333;17.09265223;17.62879914;18.57774996;19.32846782
M;6.375;13.5371;13.72145;14.02783;14.61359;15.40943;16.4326;17.12166319;17.66696377;18.63563816;19.4055104
M;6.458333333;13.53412;13.71927;14.02714;14.61645;15.41869;16.45315;17.15205629;17.70658129;18.69512904;19.48434431
M;6.541666667;13.53168;13.71769;14.02717;14.6202;15.42902;16.47496;17.18380454;17.74761885;18.75617288;19.56489823
M;6.625;13.5298;13.71672;14.02791;14.62483;15.44042;16.49801;17.21688072;17.7900437;18.81872078;19.64710224
M;6.708333333;13.52846;13.71637;14.02935;14.63032;15.45288;16.52229;17.25125697;17.83382275;18.88272474;19.7308886
M;6.791666667;13.52768;13.71663;14.0315;14.63668;15.46636;16.54776;17.28690708;17.87892434;18.948137;19.81618799
M;6.875;13.52747;13.71751;14.03435;14.64389;15.48087;16.5744;17.32380254;17.9253152;19.01491107;19.902936
M;6.958333333;13.52782;13.71901;14.03791;14.65194;15.49637;16.60219;17.3619157;17.97296286;19.08300081;19.99106797
M;7.041666667;13.52874;13.72113;14.04216;14.66082;15.51287;16.63112;17.40121891;18.02183493;19.15236073;20.08052042
M;7.125;13.53025;13.72387;14.04711;14.67054;15.53034;16.66114;17.44168456;18.07189919;19.22294589;20.17123104
M;7.208333333;13.53233;13.72724;14.05276;14.68107;15.54876;16.69225;17.48328513;18.12312353;19.29471191;20.2631386
M;7.291666667;13.535;13.73124;14.0591;14.69241;15.56812;16.72442;17.52599317;18.17547605;19.36761493;20.35618297
M;7.375;13.53826;13.73587;14.06613;14.70455;15.58841;16.75763;17.56978138;18.22892501;19.44161165;20.45030507
M;7.458333333;13.54212;13.74113;14.07386;14.71749;15.60961;16.79185;17.61462266;18.28343882;19.51665894;20.54544624
M;7.541666667;13.54657;13.74702;14.08228;14.73121;15.63171;16.82707;17.66048985;18.33898626;19.59271539;20.64155132
M;7.625;13.55163;13.75355;14.09138;14.74571;15.65469;16.86325;17.70735632;18.39553611;19.6697383;20.73856241
M;7.708333333;13.55729;13.76071;14.10116;14.76099;15.67853;16.90039;17.75519541;18.45305756;19.74768666;20.83642509
M;7.791666667;13.56356;13.76852;14.11163;14.77703;15.70323;16.93845;17.80398077;18.51151998;19.82651963;20.93508525
M;7.875;13.57044;13.77695;14.12279;14.79382;15.72877;16.97742;17.85368626;18.57089304;19.90619689;21.03448975
M;7.958333333;13.57793;13.78603;14.13462;14.81136;15.75513;17.01727;17.90428602;18.63114669;19.98667859;21.13458634
M;8.041666667;13.58604;13.79575;14.14712;14.82965;15.78231;17.05799;17.95575444;18.69225117;20.06792538;21.2353237
